#TYPE Selected.System.ServiceProcess.ServiceController
"Name"
"BFE"
"BITS"
"BrokerInfrastructure"
"CDPSvc"
"CoreMessagingRegistrar"
"CryptSvc"
"DcomLaunch"
"Dhcp"
"Dnscache"
"DPS"
"EventLog"
"EventSystem"
"FontCache"
"gpsvc"
"IKEEXT"
"iphlpsvc"
"LanmanServer"
"LanmanWorkstation"
"LSM"
"mpssvc"
"MSDTC"
"NlaSvc"
"nsi"
"Power"
"ProfSvc"
"RemoteRegistry"
"RpcEptMapper"
"RpcSs"
"SamSs"
"Schedule"
"SENS"
"ShellHWDetection"
"Spooler"
"sppsvc"
"SysMain"
"SystemEventsBroker"
"Themes"
"TrkWks"
"UALSVC"
"UserManager"
"UsoSvc"
"VGAuthService"
"VMTools"
"W32Time"
"Wcmsvc"
"WinDefend"
"Winmgmt"
"WinRM"
"WpnService"
"WpnUserService_4240b"
"ProfSvc"
"RemoteRegistry"
"RpcEptMapper"
"RpcSs"
"SamSs"
"Schedule"
"SENS"
"ShellHWDetection"
"Spooler"
"sppsvc"
"SysMain"
"SystemEventsBroker"
"Themes"
"TrkWks"
"UALSVC"
"UserManager"
"UsoSvc"
"VGAuthService"
"VMTools"
"W32Time"
"Wcmsvc"
"WinDefend"
"Winmgmt"
"WinRM"
"WpnService"
"WpnUserService*"
"cbdhsvc*"
"cdpuserSvc*"
"DispBrokerDesktopSvc"
"IISADMIN"
"PcaSvc"
"QualysAgent"
"RasMan"
"StateRepository"
"StorSvc"
"Sysmon64"
