#TYPE Selected.System.ServiceProcess.ServiceController
"Name"
"BFE"
"BITS"
"CoreMessagingRegistrar"
"CryptSvc"
"DcomLaunch"
"Dhcp"
"Dnscache"
"DPS"
"EventLog"
"EventSystem"
"gpsvc"
"IKEEXT"
"iphlpsvc"
"LanmanServer"
"LanmanWorkstation"
"LSM"
"mpssvc"
"MSDTC"
"NlaSvc"
"nsi"
"Power"
"ProfSvc"
"RemoteRegistry"
"RpcEptMapper"
"RpcSs"
"SamSs"
"Schedule"
"SENS"
"sppsvc"
"SysMain"
"SystemEventsBroker"
"UALSVC"
"UserManager"
"UsoSvc"
"VGAuthService"
"VMTools"
"W32Time"
"WinDefend"
"Winmgmt"
"WinRM"
