#TYPE Selected.System.ServiceProcess.ServiceController
"Name"
"BFE"
"BITS"
"BrokerInfrastructure"
"CryptSvc"
"DcomLaunch"
"Dhcp"
"DiagTrack"
"Dnscache"
"DPS"
"EventLog"
"EventSystem"
"FontCache"
"gpsvc"
"IKEEXT"
"iphlpsvc"
"LanmanServer"
"LanmanWorkstation"
"lmhosts"
"LSM"
"MpsSvc"
"MSDTC"
"NlaSvc"
"nsi"
"Power"
"ProfSvc"
"RemoteRegistry"
"RpcEptMapper"
"RpcSs"
"SamSs"
"Schedule"
"SENS"
"ShellHWDetection"
"Spooler"
"sppsvc"
"SystemEventsBroker"
"Themes"
"TrkWks"
"UALSVC"
"VGAuthService"
"VMTools"
"Wcmsvc"
"Winmgmt"
"WinRM"
