#TYPE Selected.System.ServiceProcess.ServiceController
"Name"
"BFE"
"BrokerInfrastructure"
"CDPSvc"
"CoreMessagingRegistrar"
"CryptSvc"
"DcomLaunch"
"Dhcp"
"Dnscache"
"DPS"
"EventLog"
"EventSystem"
"FontCache"
"gpsvc"
"IKEEXT"
"iphlpsvc"
"LanmanServer"
"LanmanWorkstation"
"LSM"
"MpsSvc"
"MSDTC"
"NlaSvc"
"nsi"
"OneSyncSvc_23cf0"
"PcaSvc"
"Power"
"ProfSvc"
"RemoteRegistry"
"RpcEptMapper"
"RpcSs"
"SamSs"
"Schedule"
"SENS"
"ShellHWDetection"
"Spooler"
"sppsvc"
"SystemEventsBroker"
"Themes"
"tiledatamodelsvc"
"TrkWks"
"UALSVC"
"UserManager"
"VGAuthService"
"VMTools"
"W32Time"
"WbioSrvc"
"Wcmsvc"
"WinDefend"
"Winmgmt"
"WinRM"
"WpnService"
"ProfSvc"
"RemoteRegistry"
"RpcEptMapper"
"RpcSs"
"SamSs"
"Schedule"
"SENS"
"ShellHWDetection"
"Spooler"
"sppsvc"
"SysMain"
"SystemEventsBroker"
"Themes"
"TrkWks"
"UALSVC"
"UserManager"
"UsoSvc"
"VGAuthService"
"VMTools"
"W32Time"
"Wcmsvc"
"WinDefend"
"Winmgmt"
"WinRM"
"WpnService"
"WpnUserService*"
"cbdhsvc*"
"cdpuserSvc*"
"DispBrokerDesktopSvc"
"IISADMIN"
"PcaSvc"
"QualysAgent"
"RasMan"
"StateRepository"
"StorSvc"
"Sysmon64"
