#TYPE Selected.System.ServiceProcess.ServiceController
"Name"
"BFE"
"BITS"
"clr_optimization_v4.0.30319_32"
"clr_optimization_v4.0.30319_64"
"CryptSvc"
"DcomLaunch"
"Dhcp"
"DiagTrack"
"Dnscache"
"DPS"
"eventlog"
"EventSystem"
"FontCache"
"gpsvc"
"IKEEXT"
"iphlpsvc"
"LanmanServer"
"LanmanWorkstation"
"lmhosts"
"MpsSvc"
"MSDTC"
"NlaSvc"
"nsi"
"PlugPlay"
"Power"
"ProfSvc"
"RemoteRegistry"
"RpcEptMapper"
"RpcSs"
"SamSs"
"Schedule"
"SENS"
"ShellHWDetection"
"Spooler"
"sppsvc"
"TrkWks"
"UxSms"
"VGAuthService"
"VMTools"
"Winmgmt"
"WinRM"
"wuauserv"
